Ticket ID,Customer Query,Summary,Assigned Department,Action Type,Priority,Sentiment,Timestamp,Resolution_Steps,Resolution_Time_Actual,Complexity_Score
T11487,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Resolve at L1,Medium,Neutral,22-04-2024 08:28,Completed name change on account profile. Sent confirmation email.,355,5
T13713,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Follow-Up,Low,Positive,13-01-2024 03:10,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",1252,6
T10626,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Follow-Up,Medium,Positive,27-03-2024 10:44,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",352,5
T14581,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Resolve at L1,Medium,Neutral,06-06-2024 01:19,Checked plan details and billing cycle. Explained fee structure. No further action required.,354,5
T13540,Do you offer services in the Tokyo region or only nationally? I am checking availability.,Do you offer services in the Tokyo region or only nationally? I am checking availability.,General Queries,Follow-Up,High,Neutral,25-04-2024 16:22,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,68,5
T16297,I was overcharged by $176 this month. I need a refund immediately.,I was overcharged by $176 this month. I need a refund immediately.,Billing,Escalate,Low,Negative,01-08-2024 05:03,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,1051,6
T14457,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,17-10-2024 04:40,Answered question about operating hours. Closed ticket.,899,5
T15015,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,Medium,Negative,29-11-2024 14:42,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,400,9
T14327,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,Low,Neutral,23-01-2024 04:14,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,878,5
T11465,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Resolve at L1,Medium,Neutral,27-09-2024 21:43,Provided link to pricing page. Confirmed service availability in their city.,500,2
T18013,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,Medium,Neutral,27-05-2024 17:31,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,496,5
T13765,Do you offer services in the Paris region or only nationally? I am checking availability.,Do you offer services in the Paris region or only nationally? I am checking availability.,General Queries,Resolve at L1,Low,Neutral,28-05-2024 11:31,Answered question about operating hours. Closed ticket.,778,5
T13105,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Escalate,Medium,Negative,30-04-2024 22:56,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,337,9
T18546,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,Medium,Neutral,21-12-2024 01:21,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,391,6
T10108,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Follow-Up,High,Negative,31-10-2024 06:42,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,38,9
T11963,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Escalate,Low,Neutral,24-05-2024 09:56,Customer is a high-value lead demanding immediate quote. Assign to VP of Sales.,1042,2
T17229,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Low,Positive,14-10-2024 07:54,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,1228,5
T14488,I was overcharged by $221 this month. I need a refund immediately.,I was overcharged by $221 this month. I need a refund immediately.,Billing,Escalate,High,Negative,08-10-2024 03:49,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,88,6
T11675,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Resolve at L1,High,Neutral,28-01-2024 19:25,Provided link to password reset tool. Confirmed access restored.,105,6
T13984,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,05-03-2024 20:46,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,102,9
T13885,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Escalate,High,Positive,02-07-2024 00:22,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,56,6
T16273,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Escalate,Medium,Negative,19-02-2024 06:11,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,412,9
T13571,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Escalate,Medium,Negative,06-11-2024 19:31,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,342,9
T17885,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Follow-Up,Low,Neutral,17-10-2024 12:25,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,808,6
T15565,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Follow-Up,Low,Neutral,23-02-2024 02:07,Initiated account transfer process. Awaiting confirmation from new account holder's email address.,1082,5
T16365,"The app shows an error code 503 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 503 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Escalate,Medium,Neutral,30-03-2024 12:01,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,383,5
T14269,How can I change the primary contact name on my business account? I need to update it urgently.,How can I change the primary contact name on my business account? I need to update it urgently.,Account Management,Resolve at L1,Medium,Neutral,27-03-2024 16:12,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,403,6
T14738,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,Medium,Neutral,17-06-2024 19:55,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,318,5
T15577,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Medium,Positive,04-08-2024 19:14,Provided link to pricing page. Confirmed service availability in their city.,340,5
T18635,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Follow-Up,Low,Negative,17-10-2024 09:48,Awaiting confirmation of address change from validation team. Contact customer for documentation.,1263,6
T16389,How can I change the primary contact name on my business account? I need to update it urgently.,How can I change the primary contact name on my business account? I need to update it urgently.,Account Management,Resolve at L1,Medium,Neutral,25-06-2024 12:45,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,280,6
T13964,I was overcharged by $235 this month. I need a refund immediately.,I was overcharged by $235 this month. I need a refund immediately.,Billing,Follow-Up,Medium,Negative,24-07-2024 03:10,Awaiting confirmation of address change from validation team. Contact customer for documentation.,435,6
T12600,**CRITICAL SYSTEM EMERGENCY**: Server connection failure imminent; product unresponsive; immediate resolution required to prevent catastrophic downtime.,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Follow-Up,High,Negative,24-05-2024 03:11,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,302,9
T12422,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Low,Positive,16-08-2024 01:42,Completed name change on account profile. Sent confirmation email.,911,6
T13099,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Escalate,Medium,Negative,30-09-2024 14:59,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,364,9
T19554,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Follow-Up,Medium,Positive,13-03-2024 19:47,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,342,5
T14967,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Medium,Positive,27-06-2024 09:09,Completed name change on account profile. Sent confirmation email.,295,5
T10972,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,Medium,Negative,11-11-2024 00:53,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,463,9
T18494,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Follow-Up,Medium,Negative,14-12-2024 21:41,Awaiting confirmation of address change from validation team. Contact customer for documentation.,363,6
T10294,I was overcharged by $137 this month. I need a refund immediately.,I was overcharged by $137 this month. I need a refund immediately.,Billing,Escalate,Low,Negative,31-07-2024 19:06,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,1098,6
T16149,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Follow-Up,High,Positive,09-02-2024 04:32,Awaiting confirmation of address change from validation team. Contact customer for documentation.,31,5
T12750,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Medium,Negative,05-09-2024 17:27,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",471,9
T15643,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,High,Neutral,12-01-2024 15:35,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,55,5
T15594,Please deactivate my old account and delete all associated data. I will not be returning to your services.,Please deactivate my old account and delete all associated data. I will not be returning to your ser...,Account Management,Resolve at L1,Low,Negative,09-11-2024 15:30,Completed name change on account profile. Sent confirmation email.,1275,9
T13157,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Escalate,Low,Positive,15-07-2024 06:11,Customer is cancelling and requesting full data deletion under GDPR. Route to Legal and Data Compliance team immediately.,1140,6
T11609,"My payment keeps failing, and I have late fees now. This is unacceptable and must be fixed as soon as possible.","My payment keeps failing, and I have late fees now. This is unacceptable and must be fixed as soon a...",Billing,Resolve at L1,Medium,Negative,02-03-2024 14:09,Checked plan details and billing cycle. Explained fee structure. No further action required.,411,6
T16014,Please deactivate my old account and delete all associated data. I will not be returning to your services.,Please deactivate my old account and delete all associated data. I will not be returning to your ser...,Account Management,Follow-Up,Low,Negative,21-02-2024 05:54,Sent required documentation for plan upgrade. Follow up in 48 hours if forms are not returned.,1048,9
T12629,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Escalate,Medium,Neutral,18-12-2024 12:21,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,394,5
T16793,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,29-10-2024 09:11,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,58,9
T18357,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,10-04-2024 14:12,Provided link to pricing page. Confirmed service availability in their city.,981,5
T14973,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Follow-Up,Medium,Positive,24-05-2024 03:51,Initiated account transfer process. Awaiting confirmation from new account holder's email address.,463,6
T18164,**SYSTEM ALERT**: Internet outage exceeding 5 hours; Critical infrastructure compromised; Immediate resolution required to ensure business continuity!,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Follow-Up,High,Negative,05-02-2024 06:06,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,285,9
T18735,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,Medium,Negative,11-07-2024 16:40,Cannot replicate user reported issue. Requested screen recording from customer.,357,9
T18738,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Follow-Up,Low,Negative,15-12-2024 11:35,Awaiting confirmation of address change from validation team. Contact customer for documentation.,1043,5
T11451,I want to cancel my subscription immediately. I've had a terrible experience with your service and customer care.,I want to cancel my subscription immediately. I've had a terrible experience with your service and c...,Account Management,Follow-Up,Low,Negative,02-10-2024 05:11,Sent required documentation for plan upgrade. Follow up in 48 hours if forms are not returned.,1054,6
T11612,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,28-09-2024 17:16,Provided link to pricing page. Confirmed service availability in their city.,1114,5
T17177,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Follow-Up,Medium,Positive,09-10-2024 21:27,Initiated account transfer process. Awaiting confirmation from new account holder's email address.,360,6
T12200,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Escalate,Medium,Negative,16-12-2024 11:31,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,411,6
T19562,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,App Support,Escalate,Medium,Neutral,13-01-2024 11:35,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,386,5
T12779,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Escalate,Medium,Negative,15-10-2024 23:54,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,380,6
T19860,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Escalate,Medium,Negative,10-05-2024 11:36,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,455,9
T12029,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Medium,Positive,01-03-2024 10:44,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,323,6
T15785,I was overcharged by $235 this month. I need a refund immediately.,I was overcharged by $235 this month. I need a refund immediately.,Billing,Follow-Up,Medium,Negative,27-06-2024 19:56,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,300,6
T16862,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,Medium,Neutral,08-12-2024 10:14,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,355,6
T11227,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Follow-Up,Low,Positive,24-05-2024 20:38,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,1179,6
T11175,"""SYSTEM FAILURE IMMINENT! IMMEDIATE CANCELLATION REQUESTED DUE TO DEGRADING SERVICE AND ABYSMAL CUSTOMER SUPPORT!""",I want to cancel my subscription immediately. I've had a terrible experience with your service and c...,Account Management,Resolve at L1,High,Negative,24-06-2024 19:05,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,337,9
T10616,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,05-08-2024 17:56,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,106,9
T13213,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Resolve at L1,Medium,Negative,14-08-2024 21:56,Answered question about operating hours. Closed ticket.,522,3
T16290,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Resolve at L1,Low,Positive,15-03-2024 01:56,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,929,5
T15707,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Low,Positive,19-08-2024 13:17,Completed name change on account profile. Sent confirmation email.,974,5
T13148,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,High,Neutral,05-07-2024 00:30,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,94,5
T12004,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,Medium,Negative,26-04-2024 02:40,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,532,9
T16695,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Escalate,High,Neutral,07-08-2024 16:11,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,47,5
T17430,I want to cancel my subscription immediately. I've had a terrible experience with your service and customer care.,I want to cancel my subscription immediately. I've had a terrible experience with your service and c...,Account Management,Resolve at L1,High,Negative,28-01-2024 16:36,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,101,6
T19928,**SYSTEM ALERT**: Internet outage exceeding 5 hours; critical infrastructure compromised; immediate resolution required to prevent catastrophic disruption.,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Follow-Up,High,Negative,25-09-2024 18:03,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,450,9
T12754,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Follow-Up,Low,Positive,14-08-2024 09:46,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,1079,5
T10111,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Escalate,High,Positive,27-08-2024 20:30,Customer is a high-value lead demanding immediate quote. Assign to VP of Sales.,39,5
T17021,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Escalate,High,Positive,28-05-2024 15:02,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,95,6
T18189,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Low,Positive,16-10-2024 01:10,Completed name change on account profile. Sent confirmation email.,952,5
T18335,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Medium,Positive,22-04-2024 09:38,Completed name change on account profile. Sent confirmation email.,353,5
T18044,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Resolve at L1,Low,Neutral,15-10-2024 19:14,Completed name change on account profile. Sent confirmation email.,1193,5
T15158,How can I change the primary contact name on my business account? I need to update it urgently.,How can I change the primary contact name on my business account? I need to update it urgently.,Account Management,Resolve at L1,Low,Neutral,23-02-2024 02:24,Completed name change on account profile. Sent confirmation email.,1033,6
T18910,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Resolve at L1,Medium,Neutral,20-10-2024 23:00,Provided link to password reset tool. Confirmed access restored.,493,5
T18282,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Medium,Negative,06-08-2024 07:52,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",507,9
T11383,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Follow-Up,Medium,Neutral,29-05-2024 21:58,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,277,6
T16844,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Escalate,Medium,Positive,20-12-2024 18:46,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,422,5
T17796,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Resolve at L1,Medium,Negative,25-05-2024 17:43,Provided link to password reset tool. Confirmed access restored.,419,9
T17879,"The app shows an error code 500 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 500 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Escalate,Medium,Neutral,14-09-2024 09:05,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,361,6
T13311,I was overcharged by $137 this month. I need a refund immediately.,I was overcharged by $137 this month. I need a refund immediately.,Billing,Resolve at L1,Medium,Negative,07-10-2024 08:03,Updated credit card details on file. Confirmed next payment date. Closed issue.,349,6
T16584,I want to cancel my subscription immediately. I've had a terrible experience with your service and customer care.,I want to cancel my subscription immediately. I've had a terrible experience with your service and c...,Account Management,Escalate,Medium,Negative,21-05-2024 14:51,Customer is cancelling and requesting full data deletion under GDPR. Route to Legal and Data Compliance team immediately.,426,6
T16426,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Low,Positive,29-03-2024 19:38,Completed name change on account profile. Sent confirmation email.,1122,5
T17485,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Escalate,High,Positive,08-02-2024 17:06,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,60,6
T14720,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,Low,Negative,07-09-2024 11:48,Cannot replicate user reported issue. Requested screen recording from customer.,836,9
T19002,Do you offer services in the Sydney region or only nationally? I am checking availability.,Do you offer services in the Sydney region or only nationally? I am checking availability.,General Queries,Resolve at L1,Low,Neutral,22-09-2024 21:04,Provided link to pricing page. Confirmed service availability in their city.,1065,5
T10956,I need a detailed copy of my invoice for the month of August.,I need a detailed copy of my invoice for the month of August.,Billing,Follow-Up,Low,Neutral,08-01-2024 13:54,Awaiting confirmation of address change from validation team. Contact customer for documentation.,1352,5
T17177,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Follow-Up,Medium,Positive,09-10-2024 21:27,Initiated account transfer process. Awaiting confirmation from new account holder's email address.,398,5
T10534,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Escalate,High,Neutral,10-04-2024 18:20,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,76,5
T10194,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,App Support,Escalate,Low,Neutral,20-02-2024 00:19,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,868,5
T14935,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Follow-Up,High,Neutral,22-08-2024 06:44,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,50,2
T12257,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Follow-Up,Medium,Positive,05-12-2024 20:45,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",288,6
T12712,Do you offer services in the London region or only nationally? I am checking availability.,Do you offer services in the London region or only nationally? I am checking availability.,General Queries,Follow-Up,High,Neutral,23-06-2024 11:07,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,73,5
T11302,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,Medium,Negative,16-09-2024 07:23,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,385,9
T11399,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,High,Negative,19-10-2024 17:37,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",88,9
T10393,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,Medium,Negative,02-09-2024 01:58,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",403,9
T14139,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,General Queries,Resolve at L1,Low,Negative,24-10-2024 06:32,Provided link to pricing page. Confirmed service availability in their city.,1007,5
T10632,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Resolve at L1,Medium,Negative,13-09-2024 01:06,Updated credit card details on file. Confirmed next payment date. Closed issue.,422,6
